Rank,"""Best""",MCC,MNC,Country ,Network name,Tier,Priority,2G,3G,"OpCo_
Code"
385,X,368,01,Cuba,Cubacel,Row Tier 5,7,x,,CBCCU
386,,370,04,Dominican Republic,Trilogy,Row Tier 5,7,x,,TRLDO
387,,374,12,Trinidad and Tobago,TSTT,Row Tier 5,7,x,,TSTTT
388,,400,01,Azerbaijan,Azercell,Row Tier 5,7,x,,AZCAZ
389,X,402,77,Bhutan,TashiCell,Row Tier 5,7,x,,TSHBT
390,,404,02,India (punjab),AirTel,Row Tier 5,7,x,,BARIN
391,,404,03,India (Himachal Pradesh),AirTel,Row Tier 5,7,x,,BARIN
392,,404,31,India (Kolkata),AirTel,Row Tier 5,7,x,,BARIN
393,,404,49,India (Andhra Pradesh),AirTel,Row Tier 5,7,x,,BARIN
394,,404,90,India (Maharashtra & Goa),AirTel,Row Tier 5,7,x,,BARIN
395,,404,93,India (Madhya Pradesh),AirTel,Row Tier 5,7,x,,BARIN
396,,404,95,India (Kerala),AirTel,Row Tier 5,7,x,,BARIN
397,,404,96,India (Haryana),AirTel,Row Tier 5,7,x,,BARIN
398,,404,97,India (Uttar Pradesh West),AirTel,Row Tier 5,7,x,,BARIN
399,,404,98,India (Gujarat),AirTel,Row Tier 5,7,x,,BARIN
400,,410,01,Pakistan,Mobilink,Row Tier 5,7,x,,MBKPA
401,,410,04,Pakistan,Zong,Row Tier 5,7,x,,ZNGPK
402,,413,01,Sri Lanka,Mobitel,Row Tier 5,7,x,,MOTLK
403,,413,08,Sri Lanka,Hutch,RoW Tier 5,7,x,,HUTLK
404,,415,03,Lebanon,mtctouch,Row Tier 5,7,x,,MTCLB
405,,418,05,Iraq,Asiacell,Row Tier 5,7,x,,ASCIQ
406,,419,03,Kuwait,Wataniya,RoW Tier 5,7,x,,WATKW
407,X,425,07,Vietnam,BeeLine,RoW Tier 5,7,x,,BLNVN
408,X,438,01,Turkmenistan,BCTI,Row Tier 5,7,x,,BCTTM
409,,452,02,Viet Nam,Vinaphone,Row Tier 5,7,x,,VINVN
410,,456,09,Cambodia,Beeline,Row Tier 5,7,x,,BLNKH
411,X,470,01,Bangladesh,GrameenPhone,Row Tier 5,7,x,,GRABD
412,X,470,03,Bangladesh,Orsacom,Row Tier 5,7,x,,BLKBD
413,X,472,01,Maldives,DhiMobile,Row Tier 5,7,x,,DHIMV
414,X,472,02,Maldives,Wataniya ,Row Tier 5,7,x,,WATMV
415,X,514,02,East Timor,Timor Telecom,Row Tier 5,7,x,,TMTTL
416,,603,01,Algeria,Mobilis,RoW Tier 5,7,x,,MBIDZ
417,,603,02,Algeria,Djezzy,RoW Tier 5,7,x,,DJZDZ
418,X,605,02,Tunisia,Tuntel,Row Tier 5,7,x,,TTLTN
419,X,605,03,Tunisia,Tunisiana,Row Tier 5,7,x,,TUNTN
420,X,606,01,Libyan Arab Jamahiriya,El Madar,Row Tier 5,7,x,,MADLY
421,X,609,01,Mauritania,Mattel,Row Tier 5,7,x,,MATMR
422,X,611,04,Guinea,Areeba,Row Tier 5,7,x,,MTNGN
423,,612,03,Ivory Coast,Orange,Row Tier 5,7,x,,ORGCI
424,,615,01,Togo,Togo Cellulaire,Row Tier 5,7,x,,TGCTG
425,,616,05,Benin,GloMobile,RoW Tier 5,7,x,,GLMBJ
426,,617,03,Mauritius,MTML,RoW Tier 5,7,x,,MTMMU
427,X,633,01,Seychelles,Cable & Wireless,Row Tier 5,7,x,,CAWSC
428,,635,13,Rwanda,Tigo,Row Tier 5,7,x,,TIGRW
429,,639,05,Kenya,Essar Telecom,Row Tier 5,7,x,,ECOKE
430,X,643,01,Mozambique,mCel,Row Tier 5,7,x,,MCLMZ
431,X,702,67,Belize,BTL,Row Tier 5,7,x,,DCLBZ
432,,744,04,Paraguay,Airtel,RoW Tier 5,7,x,,TIGPY
433,X,457,08,Lao People's Democratic Republic,Tigo,Row Tier 5,7,x*,,TIGLA
