Wed Feb 17 11:04:25 UTC 2010, 3482, 7, Charging
Wed Feb 17 11:04:40 UTC 2010, 3594, 18, Charging
Wed Feb 17 11:04:55 UTC 2010, 3601, 19, Charging
Wed Feb 17 11:05:10 UTC 2010, 3614, 22, Charging
Wed Feb 17 11:05:25 UTC 2010, 3482, 7, Discharging
Wed Feb 17 11:05:40 UTC 2010, 3446, 4, Discharging
Wed Feb 17 11:05:55 UTC 2010, 3593, 18, Charging
Wed Feb 17 11:06:11 UTC 2010, 3609, 20, Charging
Wed Feb 17 11:06:26 UTC 2010, 3560, 15, Charging
Wed Feb 17 11:06:41 UTC 2010, 3486, 8, Charging
Wed Feb 17 11:06:56 UTC 2010, 3605, 19, Charging
Wed Feb 17 11:07:11 UTC 2010, 3515, 11, Charging
Wed Feb 17 11:07:26 UTC 2010, 3616, 23, Charging
Wed Feb 17 11:07:41 UTC 2010, 3549, 14, Charging
Wed Feb 17 11:07:56 UTC 2010, 3627, 27, Charging
Wed Feb 17 11:08:11 UTC 2010, 3637, 30, Charging
Wed Feb 17 11:08:26 UTC 2010, 3547, 14, Charging
Wed Feb 17 11:08:41 UTC 2010, 3572, 16, Charging
Wed Feb 17 11:08:56 UTC 2010, 3620, 24, Charging
Wed Feb 17 11:09:11 UTC 2010, 3653, 36, Charging
Wed Feb 17 11:09:26 UTC 2010, 3653, 36, Charging
Wed Feb 17 11:09:41 UTC 2010, 3563, 15, Charging
Wed Feb 17 11:09:56 UTC 2010, 3583, 17, Charging
Wed Feb 17 11:10:11 UTC 2010, 3667, 40, Charging
Wed Feb 17 11:10:27 UTC 2010, 3670, 41, Charging
Wed Feb 17 11:10:42 UTC 2010, 3667, 40, Charging
Wed Feb 17 11:10:57 UTC 2010, 3566, 16, Charging
Wed Feb 17 11:11:12 UTC 2010, 3667, 40, Charging
Wed Feb 17 11:11:27 UTC 2010, 3681, 43, Charging
Wed Feb 17 11:11:42 UTC 2010, 3679, 43, Charging
Wed Feb 17 11:11:57 UTC 2010, 3691, 45, Charging
Wed Feb 17 11:12:12 UTC 2010, 3696, 46, Charging
Wed Feb 17 11:12:27 UTC 2010, 3699, 47, Charging
Wed Feb 17 11:12:42 UTC 2010, 3704, 48, Charging
Wed Feb 17 11:12:57 UTC 2010, 3708, 48, Charging
Wed Feb 17 11:13:12 UTC 2010, 3702, 47, Charging
Wed Feb 17 11:13:27 UTC 2010, 3650, 35, Charging
Wed Feb 17 11:13:42 UTC 2010, 3715, 50, Charging
Wed Feb 17 11:13:57 UTC 2010, 3687, 44, Charging
Wed Feb 17 11:14:12 UTC 2010, 3705, 48, Charging
